Van (datum);Van (tijdstip);Tot (datum);Tot (tijdstip);EAN-code;Meter;Metertype;Register;Volume;Eenheid;Validatiestatus;Omschrijving
01-09-2021;00:00:00;01-10-2021;00:00:00;1303;;Digitale meter;Piekvermogen;3,816;kW;Uitgelezen;
01-10-2021;00:00:00;01-11-2021;00:00:00;1303;;Digitale meter;Piekvermogen;5,387;kW;Uitgelezen;
01-11-2021;00:00:00;01-12-2021;00:00:00;1303;;Digitale meter;Piekvermogen;7,637;kW;Uitgelezen;
01-12-2021;00:00:00;01-01-2022;00:00:00;1303;;Digitale meter;Piekvermogen;6,783;kW;Uitgelezen;
01-01-2022;00:00:00;01-02-2022;00:00:00;1303;;Digitale meter;Piekvermogen;6,100;kW;Uitgelezen;
01-02-2022;00:00:00;01-03-2022;00:00:00;1303;;Digitale meter;Piekvermogen;12,053;kW;Uitgelezen;
01-03-2022;00:00:00;01-04-2022;00:00:00;1303;;Digitale meter;Piekvermogen;12,563;kW;Uitgelezen;
01-04-2022;00:00:00;01-05-2022;00:00:00;1303;;Digitale meter;Piekvermogen;11,772;kW;Uitgelezen;
01-05-2022;00:00:00;01-06-2022;00:00:00;1303;;Digitale meter;Piekvermogen;12,123;kW;Uitgelezen;
01-06-2022;00:00:00;01-07-2022;00:00:00;1303;;Digitale meter;Piekvermogen;12,145;kW;Uitgelezen;
01-07-2022;00:00:00;01-08-2022;00:00:00;1303;;Digitale meter;Piekvermogen;12,423;kW;Uitgelezen;
01-08-2022;00:00:00;01-09-2022;00:00:00;1303;;Digitale meter;Piekvermogen;11,597;kW;Uitgelezen;
01-09-2022;00:00:00;01-10-2022;00:00:00;1303;;Digitale meter;Piekvermogen;12,958;kW;Uitgelezen;
01-10-2022;00:00:00;01-11-2022;00:00:00;1303;;Digitale meter;Piekvermogen;12,122;kW;Uitgelezen;
01-11-2022;00:00:00;01-12-2022;00:00:00;1303;;Digitale meter;Piekvermogen;12,503;kW;Uitgelezen;
01-12-2022;00:00:00;01-01-2023;00:00:00;1303;;Digitale meter;Piekvermogen;12,879;kW;Uitgelezen;
01-01-2023;00:00:00;01-02-2023;00:00:00;1303;;Digitale meter;Piekvermogen;13,844;kW;Uitgelezen;
01-02-2023;00:00:00;01-03-2023;00:00:00;1303;;Digitale meter;Piekvermogen;13,380;kW;Uitgelezen;
01-03-2023;00:00:00;01-04-2023;00:00:00;1303;;Digitale meter;Piekvermogen;13,601;kW;Uitgelezen;
01-04-2023;00:00:00;01-05-2023;00:00:00;1303;;Digitale meter;Piekvermogen;12,958;kW;Uitgelezen;
01-05-2023;00:00:00;01-06-2023;00:00:00;1303;;Digitale meter;Piekvermogen;12,799;kW;Uitgelezen;
01-06-2023;00:00:00;01-07-2023;00:00:00;1303;;Digitale meter;Piekvermogen;12,362;kW;Uitgelezen;
01-07-2023;00:00:00;01-08-2023;00:00:00;1303;;Digitale meter;Piekvermogen;11,817;kW;Uitgelezen;
01-08-2023;00:00:00;01-09-2023;00:00:00;1303;;Digitale meter;Piekvermogen;12,936;kW;Uitgelezen;
01-09-2023;00:00:00;01-10-2023;00:00:00;1303;;Digitale meter;Piekvermogen;12,597;kW;Uitgelezen;
01-10-2023;00:00:00;01-11-2023;00:00:00;1303;;Digitale meter;Piekvermogen;12,853;kW;Uitgelezen;
01-11-2023;00:00:00;01-12-2023;00:00:00;1303;;Digitale meter;Piekvermogen;13,477;kW;Uitgelezen;
01-12-2023;00:00:00;01-01-2024;00:00:00;1303;;Digitale meter;Piekvermogen;14,303;kW;Uitgelezen;
01-01-2024;00:00:00;01-02-2024;00:00:00;1303;;Digitale meter;Piekvermogen;13,461;kW;Uitgelezen;
01-02-2024;00:00:00;01-03-2024;00:00:00;1303;;Digitale meter;Piekvermogen;13,092;kW;Uitgelezen;
01-03-2024;00:00:00;01-04-2024;00:00:00;1303;;Digitale meter;Piekvermogen;11,711;kW;Uitgelezen;
01-04-2024;00:00:00;01-05-2024;00:00:00;1303;;Digitale meter;Piekvermogen;12,174;kW;Uitgelezen;
01-05-2024;00:00:00;01-06-2024;00:00:00;1303;;Digitale meter;Piekvermogen;12,369;kW;Uitgelezen;
01-06-2024;00:00:00;01-07-2024;00:00:00;1303;;Digitale meter;Piekvermogen;12,381;kW;Uitgelezen;
01-07-2024;00:00:00;01-08-2024;00:00:00;1303;;Digitale meter;Piekvermogen;11,668;kW;Uitgelezen;
01-08-2024;00:00:00;01-09-2024;00:00:00;1303;;Digitale meter;Piekvermogen;12,071;kW;Uitgelezen;
01-09-2024;00:00:00;01-10-2024;00:00:00;1303;;Digitale meter;Piekvermogen;11,981;kW;Uitgelezen;
01-10-2024;00:00:00;01-11-2024;00:00:00;1303;;Digitale meter;Piekvermogen;12,905;kW;Uitgelezen;
01-11-2024;00:00:00;01-12-2024;00:00:00;1303;;Digitale meter;Piekvermogen;12,735;kW;Uitgelezen;
01-12-2024;00:00:00;01-01-2025;00:00:00;1303;;Digitale meter;Piekvermogen;13,041;kW;Uitgelezen;
01-01-2025;00:00:00;01-02-2025;00:00:00;1303;;Digitale meter;Piekvermogen;13,026;kW;Uitgelezen;
01-02-2025;00:00:00;01-03-2025;00:00:00;1303;;Digitale meter;Piekvermogen;13,574;kW;Uitgelezen;
